customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
48d8c257cbd8447a8503e559a8b8cca9,f8af7fabb3e9e70beee01db243cd3eaa,58035,joao pessoa,PB
27988adec5e98cba7d43e24cd165d5cf,a6e5393c3e4bad6306694167e0f224e8,22620,rio de janeiro,RJ
5eda0e0b4e9d11a87094681a4597f90c,cc4adf86e974ab9714a4646e2c77719d,5871,sao paulo,SP
726989efae592e4f204e67b4b893d01d,dadc1f595b611ccbb8a6894bd2203be2,36930,simonesia,MG
0980d1bf97df05137f76ff388b1b2ec9,b659edeb7cfa20089146b486dbb66e87,96410,bage,RS
83375fbd35401ea072dae5c4840878c7,5f1b4854fe8ae511e3ab315b42654413,12236,sao jose dos campos,SP
63523bbb461dd0b8fffa47e82833533c,9fb020faa1dfc7cc66b648e6a8ef0ca0,14784,barretos,SP
ae40a9366981463c2e921d2ff3527591,d7cc9c9dfe42b7b3ce81e5ce98dfa735,2965,sao paulo,SP
d0bae605ed6507129c12346c5d7e8c9e,a42a9d7752af38116b8340d50b58fd61,8780,mogi das cruzes,SP
abefde2fe67178b38e52d5efdd369eed,5fdc8c70f6d8a78ae6eabfbbb5744d67,22770,rio de janeiro,RJ
b7f23c4d0d5b9253771518139e662057,8959d030690f7942e5692a166d678728,90550,porto alegre,RS
2c23489c329798c266c3ffcd50dbdcf8,66f4eec9da64df09009a7f397c2a32b1,8410,sao paulo,SP
611f242bc215745857b56cace74282e7,0220cae7a876f841ad3924e84b29861a,32450,sarzedo,MG
c0451262dd7eda80d7fdc0277e3a6326,1b94082edaec2e4ae13bbf3510969004,24456,sao goncalo,RJ
ac9d00289136be90ac64557222f2e9fd,12c54f6dfd4b723a6c76c4c989494422,68750,curuca,PA
b741533955f92986d2f7cd6a241a889a,41b052c13c403f02d91767f64051a2e5,9195,santo andre,SP
90b25fbc512bf1df7017c9c5bdc7561b,1d9e47332af741fc5811555898c0afe7,14835,motuca,SP
0d380cd86105a9cb8abf440e29132168,671b97e69e72a66b0be36e82406fc42a,9951,diadema,SP
c64870fd02b9b20bba0e69782e53d334,b487ee8ae3db526610eaefeae1e1412b,89294,campo alegre,SC
3c5ec3e2918028d4e3d956be876ba89b,b854c0239ddb345898833db3b80feedb,4044,sao paulo,SP
1cce0f61f764cf083b928811b1f2bc79,8b16d7714c9ad9e6ba763fe1d63bfddf,21545,rio de janeiro,RJ
0a30e5974eb5b071a0b36cfe55704138,899e8b1252236f5fac662bb92f8d05ea,20766,rio de janeiro,RJ
5c60cb728486849503147328e610ab4d,53bfb7666b508a9d940d714d534c4192,4930,sao paulo,SP
48a43e5bd9323c89b8aa768871746ebe,2eb487827f6a81edd6266b9db2413abc,36060,juiz de fora,MG
1bb9fea5f63e1de6453a843c7d19998b,b7ac159644aa42f7186f5593beeed1d3,65030,sao luis,MA
ce330ed29c56811fee0ee0b22a18ab13,aa8ec62e689529fbe400d32f40f6e0d9,13405,piracicaba,SP
cb93a9fab20aef775dac6e14672ce6df,cb01dec8c9d61f6463b9821f1c1aca05,96815,santa cruz do sul,RS
7bde890b1798d812542ac5701b228dc4,aa553d8a72493bdd84b51501e626714a,2334,sao paulo,SP
4e0c05acaaaff233a4a551dc27c673be,5d33353c41e682d6ec9326aaf4fdbf01,4143,sao paulo,SP
b5205e335aca81bc3bea7fef91500e1f,fecd193c02a20ec4525e67a3a9f9c0a5,33030,santa luzia,MG
0d810a6e368123cbfa379829fa577fa5,421787fea291a962c1ab57a6b26827ac,11702,praia grande,SP
c044d877b734e1a9e6c0cdc585943d84,408e9f55a292bbdde5a16b455b5d9f05,89825,xaxim,SC
3916988227a640a3c0a13ca4c6aeec4c,6e5d1583af43662a90f510c655aea105,29931,sao mateus,ES
d9237b53be19973a71f379dfdfdc38b7,bd99f9ce70ae45607f337d482aa62684,37701,pocos de caldas,MG
28791c94579a4d9701f4c05e6c5f87de,9622a5e690173e69309e964cdec06605,51350,recife,PE
5003740ba052e3196b63cedda4ee3049,e7a57c5b35cdb485d352afad87560042,13301,itu,SP
cd47581e8adae67161f5c5d75af64c22,4f0fbe55ca5623356edb1f9a0219781f,18090,sorocaba,SP
212c99e249defc8507b913c1eb889c57,c7a380329b6ce97919f681cc4183ba3a,13030,campinas,SP
cee15e4c71628cb79e97aa9dd14b10c6,4b483ad9ba083919d805a788362c71e5,4446,sao paulo,SP
ffa9b6bd4bc00c0b12001ba7da300987,ac83cba9a4d13c1a9be33e7240f7c9db,3059,sao paulo,SP
22132aacc53ce55d47071188569d0c1b,e7ab69707e504790cb366eb8531e881e,88053,florianopolis,SC
6cd0023a7262f2b816862e3107508624,0b391e93cdb4fe7ad5446c111c647f9b,11955,barra do turvo,SP
12097fd2d4e0e9dd4fe1dff039f63b70,07d49575e9eb300156daf8a365fb19fb,84010,ponta grossa,PR
498262061f04103f440f2e643da02027,e8001d7ab27230c1f2fb39aa63aea136,28300,itaperuna,RJ
0f29ccaad86ee7442d59a69cf4166c6b,c08d50ebad8af78e09c3bbd5d413d445,15190,nhandeara,SP
ae4b6534cae9a56678c7eb71960055e3,3b37ee52b62d30f0ffe0fa80bffc1467,9920,diadema,SP
0f28d0a2069593ae2c5ec29fc3800a72,05eecdc8cf80e10dc84ce98e448fff8b,91350,porto alegre,RS
9e2fbf49702bad5716487f79ee40b2a7,d6713c8d9ad1314417fa68d23128ebad,4184,sao paulo,SP
762e79437f60ec2d9007b5a3f97139a9,df1602d39699064d0cec2791acb53bb9,88106,sao jose,SC
7ca182b6bf8a5f9ce44aee2e3212edc4,d9cd2ba0086405f128681d89d0646505,95098,caxias do sul,RS
74d2e177ebcab90583b1b652554a24fd,5725b67b2a112e3473171ee49319b1a3,30320,belo horizonte,MG
142fe8eada241df2f071e978e6dbc04c,8f966cbad592741f380ef7b2e2ab564d,6020,osasco,SP
76456466e488ebe1a52338c4df13f15f,532b8c0c2f22c1f0833891f4d3cac381,16072,aracatuba,SP
09e01f974b9533109a46281624e39808,91c54819f9e5ef20191322ccff6ee282,13613,leme,SP
f654b8a617f9ccc800833c01e1313434,adae0b960db3a27f2ee19bf0e2aae8dd,93052,sao leopoldo,RS
1480b09f03509b43490678fedbfcf39d,d2f60a4415335f2671dc71a8f25c6396,88085,florianopolis,SC
bd3791922950cba5ed71594c5634c030,8e6ab5e2e1df45abe35e2f0eb16ce764,7052,guarulhos,SP
a8aeb19975fcc42d0e82e00d627713fc,7b259f8f3478bbfd762784b4d1dabd1d,36950,ipanema,MG
ff217adc6431eb19f8af637ddd66a2d8,f08c37bc41a677fa88236ece8011c20e,22713,rio de janeiro,RJ
68aac507de4c0f73c322d085b709741a,9b4cb2f18b8f2cb6adbd4294ebe8c24a,28022,campos dos goytacazes,RJ
74617dbb7f2de4ac9e4119a90ba82afc,9539080163fbcb3ef263b17f4eb6b861,82200,curitiba,PR
6c76d4b3946e791e65b33173ffc14da0,af0450a3075f107a38cd7daadc98f990,2035,sao paulo,SP
a14c53821824724db5ab1efc53be109b,d034b95cce3e920a2b8157c196e92505,24210,niteroi,RJ
dc81c6b47698b1a98b24db60dd094325,0deada6f42688db05dff922d7346cbbb,13035,campinas,SP
00581d55862aecc8cbc7d701a27bc285,f794c59a46dc4872d97d173c1b51525a,45818,trancoso,BA
83dd9868ef09d34c50593ee34f7ca159,c7449e6c16701ff9d155ed609ca7820a,22735,rio de janeiro,RJ
507fd1858c4a4323ba84d2d884273832,9a42e626af412c41cc6d7f8ed0b390fd,41706,salvador,BA
3807775dbc0ada986e045cbfca95acff,7c83e556e8b9fbbc81bf61d7a1c3bd89,11440,guaruja,SP
394b3bfe7e36b848711599df7cd35c94,9eaee1fe94e2155bde44087d299c0b9d,4130,sao paulo,SP
c4e7d5a63e02521c1cf83e348cbc8bf3,748a98f77b5f860af4878eebc373cf27,29950,jaguare,ES
231db9149e36c4d25ca75472a9ea4335,c3e86b957537fc853921574ffb577691,22763,rio de janeiro,RJ
8f14f3becf2f707936e250675b488a83,2eb9d7a92a64e232b5b7173f0c029594,22713,rio de janeiro,RJ
870a43c2cb3de01267ee03d76d1200b4,f25c86f1fe0da86457a759fcf3893d3a,5442,sao paulo,SP
b3f0f75df1c064dea7888f0afe738b4d,e287faaa248db587a1100d094d120d2a,41650,salvador,BA
f2a7cb551d698023215eb95ed489ccb6,748e84169ace592af7a9bd3d01b47b4c,15160,poloni,SP
4139b916aeaacb9ac5133afdffe2fdc4,db3943e6f7e57135751b8cb9219b1a6e,85560,chopinzinho,PR
1214e6e00eeb4df5e73fbccad87f17f8,96ea9c7e1a29e040c68616f134e08e5c,83302,piraquara,PR
8533aa252bf31a01e141f49c31cf319a,c39c28b8ce3b154806a11311d4bddc1f,29090,vitoria,ES
4515fac76cbb11d7c0c69afeb93c49fc,a282511ce18d1873c639c926d1d8c3a1,65110,sao jose de ribamar,MA
f5e5fe72f9d970fc90546f2054e92c85,20917cee243e32974933fca49feb2829,87083,maringa,PR
45ab675ff3b7cfa6147185a7b2ab432c,1f4d527eebd767a02699b408223bdaec,4921,sao paulo,SP
55882cb9d69cdca67b5b9d29ac15ff1f,fac72f7e9602a0eb1bd44348e69c0e51,97070,santa maria,RS
6b90d343a7ee3bf7bac6f825ba4323b0,4827d6a02f010b9505e4af04c7fac522,7182,guarulhos,SP
862d420e0338df399fda69c18a1ae556,ee2c658af2a4b5ecdca87c7897b79026,72445,brasilia,DF
9b81324d4d7308a459ae94e43ff27692,7b70db47e11fe1776e5fad230f1a9be1,38410,uberlandia,MG
daf0a508037d7f807f72808b1d720a40,f791bb72858d19fd93fffcf98e6920b3,4564,sao paulo,SP
fe5ac7efe8874eecd790e7aae157c913,4646025059444f61a86266dc7264c27a,35681,itauna,MG
9bc1e773143f70089e9d0feaf0fbb5a9,37905a9251b358fa39c5d1244f5283c6,35180,timoteo,MG
821ed4f4420cc9916a15dc29515ec0de,9f912c05f9ec0c0473f8ed1da2bbe37a,18520,cerquilho,SP
8a021120539f766fb61146d15fede9ba,d59a95b04f362565e898b4e30a3f317e,49160,nossa senhora do socorro,SE
9582b93f8a5b04336d13454b876e72ba,58e41c352b12a7e96c322dca803dc08f,64053,teresina,PI
