review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
1eefff6f9c5d41506b0cd9a28ba00c53,52619537cf1e982e097feae63cd2e083,5,,,2017-03-30 00:00:00,2017-03-30 21:10:13
e5ee9c9f7b9098114cb6dab5d587cf09,24f18122273caa6950e256dcb2d2f7a7,5,,,2018-08-01 00:00:00,2018-08-01 19:48:50
2e17489d5c4987a9010459ad3eb50c59,2e87d5b27ba52796b2b5250002426561,1,Muito ruim,"O produto foi entregue em outra cor. 
Solicitamos rosa e veio preta. 
Também veio em outro modelo e não conseguimos efetuar a troca pelo site. ",2018-06-22 00:00:00,2018-06-24 01:32:44
9b61c67a71f8d863a758cd42e787226a,b8b2320bc7303abbc19c6976fe8b2fd6,5,,,2017-11-25 00:00:00,2017-12-14 11:13:24
00d2ce06a3d065f956720f6a134eb454,982b3bee67e10358cdfe18e0bbee9d08,5,Otimo!,Loja muito boa! Parabens!,2018-05-05 00:00:00,2018-05-05 23:40:33
7b2a0d67ec2e814133941e6c2b2ed8dd,1f4ef92fe96573c57bbdf0fd5c284459,1,,,2018-08-23 00:00:00,2018-08-25 12:02:04
c9eefd0e7db540b3c5cd7534b59fa5f2,8515799bbeff7b1ede702dfeef295abe,4,,,2018-03-14 00:00:00,2018-03-16 13:37:02
57bc2bf697d128c12c00e037d4341815,3f2169b11962eea86fc1eb73ddd46297,5,ÓTIMO,"MUITO BOM, VEIO ANTES DO PRAZO. PARABÉNS

ESTOU MUITO SATISFEITA",2018-05-01 00:00:00,2018-05-01 21:30:06
b8455dc2e1ae7988c132e89f4f5b390d,daa82801011a09e5047dca31d70b6be1,4,,,2018-08-22 00:00:00,2018-08-23 05:23:39
8136540db17d0c363b6ba4200ae06096,ca3a17e05aaef4739aa16cc63be8a117,4,,"Recebi o produto antes do prazo previsto, e tudo em ordem, porém, após 5 min. de utilização, o massageador parou de funcionar... já solicitei o cancelamento da compra e estou aguardando a retirada.",2017-08-05 00:00:00,2017-08-07 13:20:44
b6080e709456327e9a8453fac712e9d4,f1b8509dee2f914e33ace8b9555a7e51,4,,,2018-01-26 00:00:00,2018-01-29 10:13:11
816c0bfc29dff23e8c92cca8b3106f28,8a7074d44436c26d7e0bd110395d0fe6,5,,"Adorei ótima loja meu pedido chegou rapidinho 
Eu recomendo lojas lannister.",2018-03-02 00:00:00,2018-03-02 20:36:51
742f3bdfaab32b26db7ff6dec8361223,330a8410950e2c8bd89631999a37b2c9,5,,,2017-02-11 00:00:00,2017-02-12 10:49:46
5d19a78311a976f5b486279d3b91072f,ed0a6265b5b0a292cd537214f401f1fc,4,Produto entregue no prazo,,2018-04-27 00:00:00,2018-04-29 20:54:58
352bbd4287a2842d324d4f82d573c546,dbc6163631edab2e963462a16fbd7e8d,5,super recomendo,chegou no prazo e era oque eu realmente esperava,2018-07-04 00:00:00,2018-09-14 20:09:05
5ec668ee2df718ea3c220e4347be48ef,6f4016e726a9987c48a94f9c2e26898a,4,,,2017-12-09 00:00:00,2017-12-12 13:20:45
c4064cce09a92d879a11075ed61362e6,a217f4efd7ecdbcd9db88791945859cc,1,,,2018-04-07 00:00:00,2018-04-07 13:13:28
d659e12c067af1a43eb747e81e4a150e,5828df384b9044ee90d7ac11a042274d,5,,Pedido recebido dentro do prazo e conforme solicitado!,2017-12-22 00:00:00,2018-01-02 11:58:45
8c016a10c59a376a9eeeb246b28aeb2e,16f4c47c722704ef26d0f086cb75d213,5,,,2018-01-28 00:00:00,2018-01-31 02:22:11
a184b06161cb52fa8d919efcc8f86ec3,152a293b457051eb0d7673c27bba44c7,5,,"Sempre comprei na América e estou bem satisfeito com os serviços prestados, entrega antes do prazo , e sem nenhum defeito",2018-02-03 00:00:00,2018-02-05 18:50:05
ead86726933a494ae8205ff82faf8d58,1cc72bc4fd5f884840d38a69a4c857c6,4,,,2018-06-26 00:00:00,2018-06-26 19:40:32
fe2bde2b8caf5867ac3010cc02813036,fba0ec79b91f909237fd5ea8960a2a5a,5,,,2017-11-09 00:00:00,2017-11-10 00:44:35
25ef6e5cfe15bd4787cc59e76aa67d7e,ae471dc7860dcb671837ae421a18733e,5,,,2017-08-18 00:00:00,2017-08-24 18:30:03
b77ec59834b12edbd8e9a7f54f7eeabc,38e47cf95d95719dfbececfd1cfde0cc,1,,,2017-11-30 00:00:00,2017-11-30 10:35:49
e7743e0ac4025412ff5cba6cfbea7b38,07dba073c2b18c2c748f28ed51c87ee8,5,,,2018-03-10 00:00:00,2018-03-10 19:35:40
067b7c9c760d8bda7a2c38fb1f3fdf6e,e747b099854432937d27178c640102bf,5,,entrega rápida,2017-10-04 00:00:00,2017-10-05 11:09:27
fc2693878f7cf1f2f116e7562ee26a22,a0deb77d36e603aac0d0997a1923cc28,4,,,2017-11-01 00:00:00,2017-11-03 11:01:19
d2b117e254878126abcce4afbb03bfbd,5c71702893e0335cb82b288f08cacfa0,5,,Sempre satisfeita com tudo que peço por aqui.obrigada,2018-08-19 00:00:00,2018-08-20 14:06:07
348ba93d2b361bf7fed4c301e2731d9f,7c38c132d8ee69d411b7a3eae6035211,5,,Ótimo produto gostei muito,2018-08-04 00:00:00,2018-08-07 00:28:04
e4ee74bc28d63853245975114204ebc1,d43e30d5d28bc173660aeae6559e535a,3,,o produto não gostei pq não resolveu o meu problema.,2017-07-12 00:00:00,2017-07-14 20:34:48
812b36212eeeaaf6433b4a3e585d8752,e36014582000662d5209cd6603e5e336,4,,,2018-05-11 00:00:00,2018-05-14 02:46:53
c2ed685e0bf450d14a38fd8992097563,046100ad996b1c80d13e7e90fccd0560,4,,,2017-08-16 00:00:00,2017-08-20 20:33:21
3d2609ea30b26af1676c3ce26d940b02,8ed4fab28a629dc8ac54a72fd279da02,5,Muito bom,Fui muito bem atendida estou satisfeita ,2018-05-17 00:00:00,2018-05-21 17:08:44
ea2cc07c6fbdcf7ce85d5377fc4dfe93,acb3a4ba3d4d4b0c57cd93736fa61558,1,,"não recebi meus produtos e nem o ressarcimento dos mesmos.
no aguardo",2017-03-22 00:00:00,2017-05-05 14:06:43
