order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
b8f3f5cc5ad4103e17b5d0bd4266d69d,39b95a2690bce9433140be3c4cdcce38,delivered,2017-05-06 17:25:10,2017-05-06 17:42:09,2017-05-10 03:27:55,2017-05-27 07:07:59,2017-05-31 00:00:00
dbd4885aa71d304f95eb40c67bfbec35,323a81cf20fb536503c017cfd5c2d54f,delivered,2017-01-23 18:40:23,2017-01-23 18:50:18,2017-01-27 07:05:48,2017-02-07 17:29:32,2017-03-02 00:00:00
bb6ad5da18745c25ea9a43797598dfb7,c2a1a15a515ad0cc603955060a46a30c,delivered,2018-01-09 23:19:04,2018-01-10 10:32:12,2018-01-10 20:48:34,2018-01-11 16:36:27,2018-01-26 00:00:00
bf1f8df62b104db3de943cf23ed71435,f09da4a140386d7af34fb63abe90d9eb,delivered,2018-05-25 08:16:47,2018-05-25 08:36:53,2018-05-25 13:35:00,2018-06-01 21:10:47,2018-06-12 00:00:00
42ed2aeb956c92e3c3bb6933ecea1d89,7e176ddb04e521f4e57421aa4ab5d5a2,delivered,2017-07-25 10:34:54,2017-07-25 10:50:16,2017-07-26 14:53:36,2017-08-03 22:13:02,2017-08-24 00:00:00
3f1b0c2225f2dd5ac1856881d53a440f,13d374bd3347701b027ec82b3a72a309,delivered,2018-08-23 10:30:34,2018-08-24 03:15:17,2018-08-27 14:57:00,2018-08-29 20:17:45,2018-08-31 00:00:00
5abfc2c21926dd42e4e2a94abd87e23e,702c309288b89d7dffc52be2907d7530,delivered,2017-09-06 11:42:49,2017-09-07 10:33:33,2017-09-08 15:10:13,2017-09-11 18:57:39,2017-09-19 00:00:00
14f67483eeb4f3204bff15ecab4dbd45,9308db403109319985f5bf1d950a9557,delivered,2017-05-22 19:23:10,2017-05-22 19:31:30,2017-05-25 16:16:09,2017-06-05 12:24:49,2017-06-16 00:00:00
621d4b50a57e7b6e6d047671cb86cdc1,8013a33161d0b154e440f3ecb285dd41,delivered,2018-06-24 13:03:56,2018-06-24 13:18:41,2018-06-25 14:48:00,2018-06-29 17:07:48,2018-07-18 00:00:00
0a7a3bb3bfcebd9e89241cf037c3bc85,9466322b97e1ac6b447e2e6404ed612a,delivered,2018-01-23 22:32:24,2018-01-23 22:53:19,2018-01-25 21:51:48,2018-02-02 20:03:29,2018-02-20 00:00:00
b25a9b5820cb66ccdfaaef99e366bb19,a7f5e09c6a7c26cd763a38e5fad45e81,delivered,2018-02-16 11:22:46,2018-02-16 11:35:24,2018-02-22 20:06:11,2018-03-06 14:42:38,2018-03-15 00:00:00
9660767a8d96cb12bf8bd94b3797bb75,b1407d31724e2a3f513877e516bb0c47,delivered,2018-04-03 21:19:32,2018-04-03 21:30:12,2018-04-04 23:47:40,2018-04-17 13:26:42,2018-04-27 00:00:00
aa06ee45fd9abfa1aceccdf308434387,dc8dddbedf94214063c457cd4074ebba,delivered,2017-10-26 12:50:09,2017-10-26 13:07:46,2017-10-31 20:51:57,2017-11-07 19:34:55,2017-11-14 00:00:00
69a575f85187107c2ae4464a6e2ccf80,1e636027145a885dffb87246dc57ff4b,delivered,2018-01-16 20:24:56,2018-01-16 20:32:19,2018-01-18 21:41:27,2018-01-29 16:53:01,2018-02-09 00:00:00
53cc826fc95813b674969ef042406273,7f210db3cc1abe29d89c10ab8f75331e,delivered,2018-02-17 17:55:44,2018-02-17 18:10:21,2018-02-20 02:56:55,2018-02-21 21:43:17,2018-03-07 00:00:00
beb278f2f2946133b76dd6196b02d0e5,ba0761afd7146619e11ab4390e66bdd5,delivered,2017-10-30 15:52:12,2017-10-31 04:26:21,2017-11-22 23:46:45,2017-11-24 23:41:53,2017-11-10 00:00:00
38774303eed7ea4f45f31ba37969381d,18b22d597785579797e1526c9621beff,delivered,2018-03-31 20:27:56,2018-03-31 20:47:24,2018-04-03 00:18:51,2018-04-26 17:58:52,2018-04-18 00:00:00
c4cc03bca99df6978ffec2cf33fe0acd,c66a6bc740f30c7a1f6718a8944939c3,delivered,2018-01-06 19:17:24,2018-01-06 19:26:43,2018-02-08 14:33:17,2018-02-19 21:52:15,2018-03-16 00:00:00
ad55129ee505d7099cfa6fa9050bdec6,97f75cec91e09a57da6ddfcba7f77948,delivered,2018-04-10 18:28:31,2018-04-10 18:50:12,2018-04-11 18:48:46,2018-04-12 19:28:39,2018-04-24 00:00:00
11077b960f568dd6d5dddae3bdfaa69c,bf988543b99218d77ffea19b8953d511,delivered,2017-09-13 18:28:59,2017-09-13 18:44:23,2017-09-15 21:49:51,2017-09-25 19:02:32,2017-10-06 00:00:00
1a927ea2c184c4fc99ba799892065638,e3b3223d331a00244e5f66c8ffa32f3c,delivered,2017-06-29 21:25:53,2017-06-29 21:35:16,2017-07-04 15:14:38,2017-07-09 13:51:08,2017-07-26 00:00:00
c5931c69b3085bba2cdb9c348ec86719,af9d76931724cedc3b32de0c5aabcc8a,delivered,2017-05-21 15:46:48,2017-05-22 15:55:22,2017-05-23 08:50:16,2017-05-29 11:42:19,2017-06-13 00:00:00
